Iterations,Total_loss,Avg_loss,Learning rate,Time
5323,2.19301,2.4316,0.001,4.660226
5324,2.376315,2.426072,0.001,4.666725
5325,1.74807,2.358272,0.001,4.288763
5326,2.157628,2.338207,0.001,4.690128
5327,1.99635,2.304022,0.001,4.449283
5328,2.202417,2.293861,0.001,4.58334
5329,1.848176,2.249293,0.001,4.399297
5330,2.907434,2.315107,0.001,4.996024
5331,2.430996,2.326696,0.001,4.825357
5332,2.023928,2.296419,0.001,4.50281
5333,2.131321,2.279909,0.001,4.690882
5334,2.606239,2.312542,0.001,4.836477
5335,2.320636,2.313352,0.001,4.700608
5336,1.901958,2.272213,0.001,4.586935
5337,2.683101,2.313301,0.001,4.780241
5338,2.303183,2.312289,0.001,4.823535
5339,2.05585,2.286645,0.001,4.658102
5340,1.533142,2.211295,0.001,4.316528
5341,2.210372,2.211203,0.001,4.490747
5342,2.566773,2.24676,0.001,4.738992
5343,2.008536,2.222938,0.001,4.467255
5344,2.921925,2.292836,0.001,4.876837
5345,1.918801,2.255433,0.001,4.591839
5346,2.335707,2.26346,0.001,4.747745
5347,2.075577,2.244672,0.001,4.705565
5348,2.528132,2.273018,0.001,4.892149
5349,2.620167,2.307733,0.001,4.950347
5350,2.909567,2.367916,0.001,5.022328
5351,2.443594,2.375484,0.001,4.906608
5352,2.130002,2.350936,0.001,4.681302
5353,2.196808,2.335523,0.001,4.506613
5354,2.366767,2.338648,0.001,4.772014
5355,2.990764,2.403859,0.001,5.131541
5356,3.390836,2.502557,0.001,5.062496
5357,2.925654,2.544867,0.001,4.968203
5358,1.576779,2.448058,0.001,4.336073
5359,3.044612,2.507713,0.001,5.129924
5360,2.245552,2.481497,0.001,4.788249
5361,2.54467,2.487815,0.001,4.948666
5362,2.697357,2.508769,0.001,4.907587
5363,2.673133,2.525205,0.001,4.824229
5364,2.206397,2.493325,0.001,4.697624
5365,2.981913,2.542183,0.001,4.942019
